"","PC1","PC2","PC3","PC4"
"Alabama",-0.975660448333606,-1.12200121043341,0.439803661285307,0.154696580989146
"Alaska",-1.93053787851368,-1.06242691953445,-2.01950026646313,-0.434175454303892
"Arizona",-1.7454428533906,0.738459537284999,-0.0542302493041463,-0.826264239801614
"Arkansas",0.139998944348594,-1.10854225950591,-0.113422168237127,-0.180973554221139
"California",-2.49861284825858,1.52742672082479,-0.592540999822735,-0.338559240016012
"Colorado",-1.49934073746552,0.977629656524983,-1.08400161730102,0.00145016417331642
"Connecticut",1.34499236494685,1.07798361522603,0.636792504557458,-0.117278736453348
"Delaware",-0.0472298063468951,0.322088902660565,0.711410317476903,-0.873113315397409
"Florida",-2.98275966985053,-0.0388342468594004,0.571032063384344,-0.0953170415226175
"Georgia",-1.62280741822275,-1.26608838405527,0.339018182441256,1.0659744588473
"Hawaii",0.903484479467485,1.5546760937372,-0.0502715101850579,0.893733197875069
"Idaho",1.62331903335491,-0.208852532733398,-0.257190207094088,-0.494087851596783
"Illinois",-1.36505197344764,0.674988339762985,0.670686466688429,-0.120794915862929
"Indiana",0.500381218467361,0.150039261517271,-0.225762771685341,0.420397595093737
"Iowa",2.23099578556002,0.103008276406122,-0.162910360689878,0.0173794698618798
"Kansas",0.788872062457506,0.26744941274229,-0.0252964835338012,0.204421034012508
"Kentucky",0.743312560502575,-0.948807476193182,0.028084289973803,0.663817237387495
"Louisiana",-1.54909076342142,-0.862300114746539,0.775605983902665,0.450157791160093
"Maine",2.37274013811147,-0.372608650017809,0.0650222451647871,-0.327138528652024
"Maryland",-1.74564663331427,-0.423357040829031,0.155669683777989,-0.553450589329407
"Massachusetts",0.481280070041075,1.45967706049893,0.603371717432899,-0.177793902098927
"Michigan",-2.0872502489021,0.153835002114751,-0.381000459848848,0.101343127922468
"Minnesota",1.67566950509684,0.625906704885262,-0.151531999008798,0.0666403161862511
"Mississippi",-0.986479185336292,-2.36973712490675,0.733362895630956,0.213342048615756
"Missouri",-0.689784263994373,0.260707941347262,-0.373650325294524,0.223554810984366
"Montana",1.17353751396927,-0.531478512267081,-0.24440795843879,0.122498554824023
"Nebraska",1.25291625304513,0.192004396467082,-0.173809299774826,0.0157331562329188
"Nevada",-2.84550541798477,0.767805021353823,-1.15168793167263,0.311354436061528
"New Hampshire",2.3599558521098,0.0179005535270803,-0.0364849778030577,-0.0328042905621796
"New Jersey",-0.179741278311774,1.43493744559758,0.756770405899406,0.240936580136008
"New Mexico",-1.96012351316822,-0.141413077722027,-0.18184598009833,-0.336121112660171
"New York",-1.66566662172248,0.814910724517095,0.636611862705564,-0.0133488441510553
"North Carolina",-1.1120880825676,-2.20561081445927,0.854892453821193,-0.944789648490357
"North Dakota",2.96215223250691,-0.593097376917541,-0.298249295679024,-0.251434626066199
"Ohio",0.223694355497656,0.734778367024733,0.0308261575802548,0.469152816519226
"Oklahoma",0.308649279454714,0.284961125167963,0.0151559209906669,0.0102284757257058
"Oregon",-0.0585278699811307,0.535969994536816,-0.93038717956119,-0.235390871768676
"Pennsylvania",0.87948679519949,0.565360504607017,0.39660218459394,0.355452377666656
"Rhode Island",0.855090717007696,1.47698328409526,1.35617704965637,-0.607402746333086
"South Carolina",-1.30744986085371,-1.91397296672008,0.297517232661883,-0.130145377915021
"South Dakota",1.96779669368699,-0.81506822456438,-0.385380733990228,-0.108470512331232
"Tennessee",-0.989693774325594,-0.851605343482672,-0.186192620111974,0.646302674061503
"Texas",-1.34151838166782,0.408335177969948,0.487123316812342,0.63673105088016
"Utah",0.545031802555006,1.45671524192276,-0.290775921276225,-0.0814867491743082
"Vermont",2.77325613354972,-1.38819435019004,-0.832807974162781,-0.143433696715141
"Virginia",0.0953666966000213,-0.197727848353299,-0.0115948248606324,0.209246429496956
"Washington",0.214723389834346,0.96037394381938,-0.618590668566376,-0.218628160905837
"West Virginia",2.08739305667661,-1.41052627218446,-0.103721632649936,0.130583080145005
"Wisconsin",2.05881198847966,0.605125065136859,0.137469334136036,0.182253407200314
"Wyoming",0.623100606853614,-0.317786624600862,0.238240486540006,-0.164976865730025
